,Openness,Conscientiousness,Extroversion,Agreeableness,Neuroticism
P001,34,37.0,31,34,35
P002,40,39.0,34,40,8
P003,26,36.0,25,39,25
P004,20,35.0,40,24,30
P005,24,29.0,31,32,27
P006,41,36.0,27,25,27
P007,41,36.0,37,28,36
P008,28,25.0,32,41,24
P010,35,37.0,23,40,36
P011,32,14.0,32,38,38
P013,40,33.0,29,30,9
P015,27,28.0,35,22,27
P016,32,20.0,20,27,35
P018,25,26.0,27,19,23
P019,32,34.0,36,26,23
P020,27,30.0,35,26,28
P022,30,34.0,20,31,16
P023,33,39.0,32,31,31
P024,38,15.0,25,34,39
P025,35,42.0,20,43,37
P027,30,25.0,19,23,17
P028,22,33.0,23,24,30
P029,31,30.0,40,45,25
P030,26,27.0,16,34,16
P031,35,36.0,30,31,14
P032,38,25.0,32,32,29
P033,28,25.0,23,33,29
P035,33,18.0,27,29,29
P036,38,19.0,28,26,40
P037,34,19.0,31,31,25
P038,33,27.0,27,35,25
P039,29,27.0,27,43,25
P040,33,28.0,25,28,22
P041,26,30.0,37,24,28
P042,19,34.0,39,39,35
P043,32,31.0,32,42,19
P044,29,34.0,35,40,19
P046,27,34.0,37,35,30
P047,27,31.0,31,25,17
P049,29,26.0,24,24,24
P050,17,33.0,20,30,26
P051,36,25.0,30,40,27
P052,35,13.0,45,28,17
P053,31,28.0,39,21,22
P054,29,41.0,27,31,27
P055,31,19.0,29,38,33
P056,43,17.0,25,40,33
P057,28,42.0,29,30,19
P058,27,36.0,32,39,14
P059,20,31.0,29,40,18
P060,34,28.0,30,33,25
P061,20,25.0,29,27,22
P062,26,28.0,30,31,33
P063,24,23.0,34,29,25
P064,32,31.0,20,30,27
P065,35,30.0,24,26,27
P066,32,40.0,26,29,41
P069,33,34.0,33,23,21
P070,24,37.0,29,29,15
P071,24,23.0,26,23,22
P072,35,10.0,34,35,12
P073,36,17.0,18,32,34
P074,25,18.0,33,24,24
P075,27,36.0,30,30,18
P076,36,34.0,38,39,6
P077,39,35.0,36,30,28
P078,32,28.0,33,32,28
P080,32,45.0,35,36,16
P081,46,35.0,28,27,24
P083,28,15.0,27,34,27
P084,36,28.0,22,32,28
P085,29,32.0,33,31,22
P086,25,39.0,24,27,17
P087,20,37.0,24,39,33
P088,16,30.0,25,27,30
P089,19,37.0,33,28,26
P090,25,19.0,25,36,25
P091,31,35.0,29,26,34
P092,31,32.0,38,26,29
P093,38,37.0,32,31,29
P094,32,26.0,28,34,18
P095,33,23.0,35,35,33
P096,28,28.0,32,25,19
P097,35,40.0,33,36,19
P098,43,23.0,33,30,38
P099,26,40.0,35,30,27
P100,36,34.0,35,36,23
P101,43,10.0,26,40,39
P104,28,35.0,25,38,24
P105,31,26.0,33,37,21
P106,30,44.0,45,43,20
P107,39,17.0,34,36,25
P108,24,33.0,33,29,19
P109,26,32.0,23,37,19
P110,32,28.0,32,32,26
P111,34,16.0,32,29,38
P112,21,26.0,16,43,31
P113,38,14.0,32,36,30
P114,33,29.0,30,36,16
P115,31,27.0,16,25,42
P116,19,28.0,27,38,24
P117,33,19.0,14,11,37
P118,26,32.0,26,31,23
P119,33,32.0,30,25,17
P121,32,32.0,30,14,32
P122,38,26.0,27,33,24
P123,29,21.0,24,36,34
P124,35,20.0,35,34,33
P125,38,17.0,33,27,27
P126,34,25.0,26,33,26
P127,26,28.0,28,35,15
P128,28,35.0,39,43,13
P129,33,33.0,39,45,7
P130,36,32.0,30,37,32
P131,40,27.0,17,36,36
P132,37,31.0,21,32,29
P133,36,36.0,26,31,27
P134,31,35.0,23,32,26
P135,31,35.0,31,23,21
P136,31,44.0,34,37,14
P137,20,41.0,35,37,29
P138,22,38.0,33,37,33
P139,25,21.0,23,31,39
P140,44,35.0,33,35,13
P141,30,33.0,27,24,38
P143,38,39.0,21,27,39
P144,28,36.0,31,39,28
P145,31,25.0,31,26,32
P146,30,27.0,32,17,34
P147,42,14.0,21,27,43
P148,25,33.0,31,27,25
P149,20,41.0,38,34,17
P150,25,27.0,35,36,24
P151,32,26.0,26,36,20
P152,33,27.0,23,30,19
P153,35,29.0,21,34,35
P154,27,23.0,31,21,27
P155,32,38.0,16,27,36
P156,30,38.0,35,27,13
P157,22,30.0,24,36,36
P158,29,31.0,22,33,30
P160,38,35.0,37,32,17
P161,38,29.0,19,37,39
P164,47,8.0,30,22,28
P165,26,34.0,22,30,31
P166,33,22.0,14,34,38
P167,35,43.0,28,31,12
P168,25,28.0,21,35,34
P169,24,31.0,31,35,15
P170,37,27.0,40,37,31
P171,26,33.0,22,30,37
P172,38,37.0,32,27,17
P173,27,36.0,24,33,32
P174,24,33.0,30,19,30
P175,33,19.0,33,34,32
P183,38,27.0,34,34,24
P184,44,29.0,21,30,19
P185,34,37.0,31,30,31
P186,35,19.0,32,33,37
P187,27,26.0,30,30,25
P188,29,40.0,37,30,15
P190,26,42.0,33,36,28
P192,21,36.0,37,23,27
P193,23,39.0,37,26,37
P194,26,39.0,19,20,17
P195,34,33.0,33,36,33
P196,27,18.0,21,30,33
P197,32,37.0,31,29,17
P198,34,39.0,38,36,28
P199,39,21.0,36,27,33
P200,26,21.0,38,23,34
P201,23,28.0,21,28,29
P202,22,32.0,25,36,24
P203,32,32.0,33,20,26
P204,27,22.0,23,27,34
P205,24,37.0,22,26,33
P206,37,29.0,34,27,25
P207,33,35.0,37,31,25
P208,31,37.0,31,24,20
P209,36,33.0,28,36,14
